Resource_ID,Category,Message_ID,Text,URL,Media,Audio,Video,Channel,Compulsory
In1,Information,In1_01,Sapevi che è possibile mangiare bene spendendo meno di 2 euro al giorno? Per maggiori informazioni e tanti consigli utili vai al seguente link e leggi l'articolo completo!,http://www.salute24.ilsole24ore.com/articles/16208-terza-eta-mangiare-bene-con-2-euro-al-giorno-si-puo,,,,SMS,Yes
In1,Information,In1_02,"Molto spesso, mangiare bene costa caro e per le persone anziane diventa sempre più complicato arrivare a fine mese senza spendere un patrimonio in cibo. In realtà è invece possibile alimentarsi nel modo corretto spendendo solo 2 euro al giorno! Gli accorgimenti per farlo sono contenuti nel libro, realizzato dalla Società italiana di gerontologia e geriatria, intitolato ""Diete per anziani in tempi di crisi"". Vai al link per maggiori informazioni.",http://www.salute24.ilsole24ore.com/articles/16208-terza-eta-mangiare-bene-con-2-euro-al-giorno-si-puo,,,,Messenger,No
In1,Information,In1_03,Circa un milione di italiani over 65 ammettono di avere una dieta povera e sbilanciata a causa di problemi economici!Vai all'articolo per scoprire come risparmiare senza rinunciare ad un'alimentazione equilibrata.,http://www.salute24.ilsole24ore.com/articles/16208-terza-eta-mangiare-bene-con-2-euro-al-giorno-si-puo,,,,SMS,Yes
In1,Information,In1_04,"Secondo Giuseppe Paolisso, presidente della Società italiana di gereontologia e geriatria, le esigenze alimentari degli anziani andrebbero suddivise a seconda della loro fascia dìetà: se fino ai 75 anni servono 1500-1600 calorie al giorno, l'apporto calorico corretto scende a 1300-1400 per le persone tra i 75 e gli 80 e a solo 1000-1100 calorie per gli ultraottantenni! I responsabili della ricerca hanno elaborato degli schemi alimentari perfetti per ognuna di queste fascie d'età: leggi l'articolo completo al seguente link per saperne di più!",http://www.salute24.ilsole24ore.com/articles/16208-terza-eta-mangiare-bene-con-2-euro-al-giorno-si-puo,,,,Messenger,Yes
In1,Information,In1_05,"Gli alimenti tipici della dieta mediterranea sono un vero elisir di lungavita! Ci proteggono da malattie cardiovascolari e tumori, permettendoci anche di non spendere un patrimonioi per mangiare bene. Leggi la notizia completa al seguente link.",http://www.salute24.ilsole24ore.com/articles/16208-terza-eta-mangiare-bene-con-2-euro-al-giorno-si-puo,,,,SMS,Yes
In1,Information,In1_06,"Spendere dai 50 ai 150 euro al mese mangiando sano è possibile! Verdure e frutta di stagione, olio EVO, cereali, carne bianca, uova e pesce azzurro, ovvero gli alimenti alla base della dieta mediterranea, ti permetteranno di nutrirti in modo equilibrato senza spendere tutta la tua pensione. Per esempio, una prima colazione a base di latte o yogurt con fette biscottate e pane bianco costa solo dai 30 ai 50 centesimi al giorno! Molti altri consigli sono disponibili nel libro ""Diete per anziani in tempi di crisi"", a cura della Società italiana di gerontologia e geriatria. Vai al link per saperne di più. ",http://www.salute24.ilsole24ore.com/articles/16208-terza-eta-mangiare-bene-con-2-euro-al-giorno-si-puo,,,,Messenger,Yes
In1,Information,In1_07,"Procurati subito il libro di Giuseppe Paolisso ""Diete per anziani in tempi di crisi"". Scoprirai che è possibile mangiare bene spendendo da 1,62 a 5,20 euro al giorno! Vai al link. ",http://www.salute24.ilsole24ore.com/articles/16208-terza-eta-mangiare-bene-con-2-euro-al-giorno-si-puo,,,,SMS,Yes
Tr4,Information,In8_01,Sapevi che è possibile mangiare bene spendendo meno di 2 euro al giorno? Per maggiori informazioni e tanti consigli utili vai al seguente link e leggi l'articolo completo!,http://www.salute24.ilsole24ore.com/articles/16208-terza-eta-mangiare-bene-con-2-euro-al-giorno-si-puo,,,,SMS,Yes
Tr4,Information,In8_02,"Molto spesso, mangiare bene costa caro e per le persone anziane diventa sempre più complicato arrivare a fine mese senza spendere un patrimonio in cibo. In realtà è invece possibile alimentarsi nel modo corretto spendendo solo 2 euro al giorno! Gli accorgimenti per farlo sono contenuti nel libro, realizzato dalla Società italiana di gerontologia e geriatria, intitolato ""Diete per anziani in tempi di crisi"". Vai al link per maggiori informazioni.",http://www.salute24.ilsole24ore.com/articles/16208-terza-eta-mangiare-bene-con-2-euro-al-giorno-si-puo,,,,Messenger,No
Tr4,Information,In8_03,Circa un milione di italiani over 65 ammettono di avere una dieta povera e sbilanciata a causa di problemi economici!Vai all'articolo per scoprire come risparmiare senza rinunciare ad un'alimentazione equilibrata.,http://www.salute24.ilsole24ore.com/articles/16208-terza-eta-mangiare-bene-con-2-euro-al-giorno-si-puo,,,,SMS,Yes
