R_ID,Category,Resource_Name,Subjects,URL,Description,From date,To date,Has_messages,Media,Partner,Translated,Language,Periodic,Repeating_time,Every,On_day
In1,Information,Andare a messa riduce la depressione e il numero di suicidi,#religione,http://it.aleteia.org/2016/07/07/assistere-messa-prevenire-depressione-suicidio/,"L'articolo dimostra che la partecipazione ai servizi religiosi aumenta il sostegno sociale, diminuisce la depressione e contribuisce a sviluppare una prospettiva più ottimista nella vita.",,,No,,Polimi,No,Italiano,Yes,Week,2,Friday
In2,Information,Quando la demenza rivela un amore coltivato a lungo,#demenza senile,http://it.aleteia.org/2016/05/13/demenza-amore-alzheimer-memoria/,L'Alzheimer è una malattia cerebrale degenerativa che cambia drasticamente la persona: l'articolo mostra come spesso però emerga nel malati un atteggiamento affettuoso che rivela il profondo amore vissuto.,,,No,,Polimi,No,Italiano,No,,,
In3,Information,I consigli della Polizia contro le truffe agli anziani,#truffe,http://www.poliziadistato.it/articolo/358-I_consigli_della_Polizia_contro_le_truffe_agli_anziani/,Gli utili consigli della polizia di stato per evitare di incorrere nelle tipiche truffe a danno degli anziani. Particolarmente adatto per soggetti fragili e che vivono soli.,,,No,,Polimi,No,Italiano,No,,,
Prova1,Information,"Aumentano le truffe agli anziani, ecco le 5 più comuni e i consigli per evitarle",#truffe,http://www.lastampa.it/2015/06/23/italia/cronache/aumentano-le-truffe-agli-anziani-ecco-le-pi-comuni-e-i-consigli-per-evitarle-6fbIZn4jMSXMDfZ1nnWDkN/pagina.html,"Cinque esempi di truffe ricorrenti ai danni degli anziani, con relativo vademecum delle azioni da prendere per evitare di rimanerne vittime. Adatto ad anziani più fragili, che dimostrano segni di diminuzione di autonomia.",,,Yes,,Polimi,No,Italiano,No,,,
In5,Information,Anziani in viaggio: tanti consigli utili,"#vacanze, #viaggi",http://www.saninforma.it/biblioteca-della-salute/anziani-in-viaggio-tanti-consigli-utili,"L'articolo fornisce una lista delle cose più importanti che si devono ricordare quando si parte per un viaggio, prima, durante e dopo, con la lista dei documenti da portare e consigli su come traspostare medicine, etc. Risorsa da inviare a ridosso di periodi di vacanza, a persone attive e con possibilità di muoversi o che hanno pianificato un viaggio.",,,Yes,,Polimi,No,Italiano,No,,,
In6,Information,Prevenzione alle truffe,#truffe,http://www.carabinieri.it/cittadino/consigli/tematici/giorno-per-giorno/contro-le-truffe/contro-le-truffe,"Alcuni degli esempi più comuni di truffe ai danni degli anziani, con i consigli della polizia su come difendersi. Risorsa adatta per persone piuttosto fragili, o che ne hanno subite ne l passato. Utile anche per  i famigliari, per poter riconoscere le situazioni di pericolo quando dovessero presentarsi.",,,No,,Polimi,No,Italiano,No,,,
In7,Information,"Nei batteri intestinali 
dei centenari il segreto 
della longevità","#alimentazione, #salute",http://www.salute24.ilsole24ore.com/articles/18767-nei-batteri-intestinali-dei-centenari-il-segreto-della-longevita,"Risorsa educativa, dal contenuto anche piuttosto tecnico. Adatta a persone con un profilo di fragilità basso, curiose ed evenualmente che hanno avuto precedenti esperienze negative con malattie intestinali.",,,No,,Polimi,No,Italiano,No,,,
Tr4,Information,Terza età: mangiare bene  con 2 euro al giorno si può.,"#alimentazione, #risparmio",http://www.salute24.ilsole24ore.com/articles/16208-terza-eta-mangiare-bene-con-2-euro-al-giorno-si-puo,"Mangiare bene è caro, spesso e volentieri. Tuttavia è sempre possibile assumere tutti i nutrienti necessari, risparmiando qualcosa. Adatto a chi ha un profilo finanziario basso o percepisce poca pensione.",,,Yes,,Polimi,No,Italiano,No,,,
In9,Information,Integratori vitaminici e multivitaminici: naturali e sintetici a confronto.,"#alimentazione,  #salute",http://www.benessere360.com/integratori-vitaminici.html,"L'articolo è piuttosto specifico e concerne coloro che fanno regolare consumo di vitamine. E' abbastanza tecnico, quindi non adatto alle persone che non amano risorse così specifiche.",,,No,,Polimi,No,Italiano,No,,,
In10,Information,Incontinenza. Il Ssn offre troppo poco a chi ne soffre. Lo rileva l’indagine Inrca tra gli anziani,"#incontinenza, #salute",http://www.quotidianosanita.it/studi-e-analisi/articolo.php?articolo_id=41082,http://www.quotidianosanita.it/studi-e-analisi/articolo.php?articolo_id=41082,,,No,,Polimi,No,Italiano,No,,,
In11,Information,"Casa ""smart"", ma non solo: pochi consigli per aiutare gli anziani a vivere meglio",#sicurezza,http://salute24.ilsole24ore.com/articles/17199-casa-smart-ma-non-solo-pochi-consigli-per-aiutare-gli-anziani-a-vivere-meglio,"Anche se la vita quotidiana tra le pareti domestiche può diventare sempre più complicata con il passare degli anni, alcuni piccoli accorgimenti possono aiutare gli anziani a sentirsi più sicuri e tranquilli. Specialmente adatto a soggetti particolarmente fragili",,,Yes,,Polimi,No,Italiano,No,,,
Tr3,Information,Influenza stagionale: 5 cose da sapere per sconfiggerla,#influenza,http://www.salute24.ilsole24ore.com/articles/19418-influenza-stagionale-5-cose-da-sapere-per-sconfiggerla,L'articolo espone degli utili consigli sul tema dell'influenza. Ideale per tutti i soggetti nel periodo invernale.,31/11,28/02/2017,Yes,,Polimi,No,Italiano,No,,,
In13,Information,Cervello giovane con tre caffè al giorno,"#caffè, #invecchiamento cerebrale",http://salute24.ilsole24ore.com/articles/19196-cervello-giovane-br-con-tre-caffe-al-giorno,Articolo che tratta dei benefici del caffè e della caffeina sul cervello umano. Adatto a tutti i soggetti.,,,No,,Polimi,No,Italiano,No,,,
In14,Information,Il bilinguismo mantiene il cervello giovane,"#bilinguismo, #attività cognitiva",http://salute24.ilsole24ore.com/articles/19505-il-bilinguismo-mantiene-br-giovane-il-cervello,"La ricerca citata nell'articolo ha provato che l'apprendimento di una lingua straniera in età avanzata può favorire il mantenimento di buone condizioni cerebrali. Adatto a tutti, specialmente a soggetti motivati a fare nuove attività ed esperienze.",,,No,,Polimi,No,Italiano,No,,,
In15,Information,«La dieta perfetta per restare più giovani: ogni tanto digiunare»,"#alimentazione, #dieta perfetta",http://www.ilgiornale.it/news/politica/dieta-perfetta-restare-pi-giovani-ogni-tanto-digiunare-1280923.html?mobile_detect=false,"L'articolo descrive le linee guida delle ricerche del dottor Longo, secondo il quale ridurre drasticamente le calorie 2 o 3 volte all'anno aiuterebbe a perdere peso e a prevenire un grande numero di malattie. Molto utile per chi ha particolari problemi di salute, specialmente se il soggetto è anche sovrappeso.",,,Yes,,Polimi,No,Italiano,No,,,
In16,Information,Anziani più in salute se vivono con un cane,"#salute, #animali da compagnia",http://salute24.ilsole24ore.com/articles/18688-anziani-piu-in-salute-se-vivono-con-un-cane,"I cani non ci fanno soltanto compagnia, ma ci aiutano anche a tenerci in forma quando li portiamo a passeggio. Indicato per tutti coloro che vivono soli e potrebbero trarre vantaggio, tanto fisico quando psicologico, da un animale da compagnia.",,,Yes,,Polimi,No,Italiano,No,,,
In17,Information,La felicità non è una questione per ventenni. Arriva dopo!,"#felicità, #anziani",http://www.salute24.ilsole24ore.com/articles/19077-la-felicita-non-e-br-una-questione-per-br-ventenni-arriva-dopo,"I ricercatori americani hanno scoperto che la terza età è proprio il periodo della vita in cui si gode di un maggiore benessere psicologico e, di conseguenza, in cui si è più felici. Articolo particolarmente indicato a persone che hanno bisogno di essere motivate.",,,Yes,,Polimi,No,Italiano,No,,,
In18,Information,Broccoli e soia contengono molecole che rellantano l'invecchiamento,"#alimentazione, #salute",http://www.salute24.ilsole24ore.com/articles/19279-broccoli-e-soia-contengono-molecola-che-rallenta-linvecchiamento,L'articolo tratta il tema degli alimenti migliori per arginare l'invecchiamento nelle persone della terza età. Particolarmente indicato per chi dovrebbe cercare di seguire un'alimentazione più equilibrata.,,,No,,Polimi,No,Italiano,No,,,
In19,Information,Quando la statura non fa rima con salute,"#salute, #statura",http://www.salute24.ilsole24ore.com/articles/19351-quando-la-statura-br-non-fa-rima-con-salute,"Secondo l'articolo, le donne di alta statura hanno maggiori probabilità di sviluppare disturbi fisici e cognitivi. Curiosità adatta ad un pubblico femminile.",,,No,,Polimi,No,Italiano,No,,,
